262.000000 -580.000000 -269.000000, 0.000000 0.000000 0.000000, -316.000000 -117.000000 -385.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000000, -72.000000 -32.000000 -34.000000, 0.000000 0.000000 0.000000, -309.000000 162.000000 -121.000000, 
371.000000 -543.000000 -227.000000, 35.000000 -405.000000 -335.000000, 0.000000 0.000000 0.000000, -575.000000 207.000000 -207.000000, 
297.000000 -597.000000 -260.000000, -124.000000 -254.000000 -416.000000, -290.000000 -60.000000 -40.000000, -615.000000 252.000000 -187.000000, 
269.000000 -585.000000 -269.000000, -194.000000 -168.000000 -431.000000, -554.000000 -28.000000 200.000000, -658.000000 412.000000 -363.000000, 
269.000000 -585.000000 -270.000000, -199.000000 -162.000000 -425.000000, -606.000000 8.000000 216.000000, -649.000000 511.000000 -529.000000, 
0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000003, 0.000000 0.000000 0.000011, 
0.000000 0.000000 0.000001, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000010 0.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000168, 
0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000011, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000001 0.000000 0.000000, 
0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000011 0.000000 0.000000, 0.000011 0.000000 0.000000, 
0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000001 0.000000 0.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000000, 0.000003 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000000, 0.000011 0.000000 0.000000, 0.000003 0.000000 0.000000, 0.000043 0.000000 0.000000, 
