-503.000000 -267.000000 -558.000000, 0.000000 0.000000 0.000000, 346.000000 77.000000 -381.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000000, -13.000000 -16.000000 23.000000, 0.000000 0.000000 0.000000, -10.000000 -11.000000 14.000000, 
389.000000 97.000000 -356.000000, -422.000000 -481.000000 621.000000, -236.000000 -133.000000 -588.000000, -546.000000 -320.000000 -503.000000, 
348.000000 77.000000 -376.000000, -423.000000 -491.000000 671.000000, -334.000000 -145.000000 -578.000000, -544.000000 -301.000000 -554.000000, 
346.000000 75.000000 -377.000000, -423.000000 -491.000000 671.000000, -375.000000 -151.000000 -557.000000, -554.000000 -314.000000 -560.000000, 
346.000000 75.000000 -377.000000, -423.000000 -491.000000 671.000000, -395.000000 -152.000000 -543.000000, -558.000000 -326.000000 -568.000000, 
346.000000 75.000000 -377.000000, -423.000000 -491.000000 671.000000, -412.000000 -149.000000 -534.000000, -556.000000 -336.000000 -574.000000, 
346.000000 75.000000 -377.000000, -423.000000 -491.000000 671.000000, -432.000000 -144.000000 -532.000000, -550.000000 -348.000000 -578.000000, 
346.000000 75.000000 -377.000000, -423.000000 -491.000000 671.000000, -448.000000 -137.000000 -530.000000, -540.000000 -356.000000 -580.000000, 
346.000000 75.000000 -377.000000, -423.000000 -491.000000 671.000000, -466.000000 -132.000000 -533.000000, -529.000000 -365.000000 -578.000000, 
346.000000 75.000000 -377.000000, -423.000000 -491.000000 671.000000, -483.000000 -131.000000 -539.000000, -519.000000 -374.000000 -576.000000, 
345.000000 75.000000 -377.000000, -423.000000 -491.000000 671.000000, -495.000000 -134.000000 -543.000000, -511.000000 -381.000000 -574.000000, 
345.000000 75.000000 -377.000000, -423.000000 -491.000000 671.000000, -503.000000 -135.000000 -548.000000, -504.000000 -384.000000 -570.000000, 
345.000000 75.000000 -377.000000, -423.000000 -491.000000 671.000000, -506.000000 -134.000000 -550.000000, -501.000000 -384.000000 -568.000000, 
345.000000 75.000000 -377.000000, -423.000000 -491.000000 671.000000, -509.000000 -134.000000 -552.000000, -499.000000 -385.000000 -567.000000, 
345.000000 75.000000 -377.000000, -423.000000 -491.000000 671.000000, -510.000000 -134.000000 -552.000000, -497.000000 -384.000000 -566.000000, 
345.000000 75.000000 -377.000000, -423.000000 -491.000000 671.000000, -512.000000 -134.000000 -553.000000, -496.000000 -384.000000 -566.000000, 
345.000000 75.000000 -377.000000, -423.000000 -491.000000 671.000000, -514.000000 -134.000000 -555.000000, -495.000000 -384.000000 -564.000000, 
345.000000 75.000000 -377.000000, -423.000000 -491.000000 671.000000, -516.000000 -135.000000 -556.000000, -494.000000 -385.000000 -563.000000, 
345.000000 75.000000 -377.000000, -423.000000 -491.000000 671.000000, -517.000000 -135.000000 -557.000000, -493.000000 -385.000000 -562.000000, 
345.000000 75.000000 -377.000000, -423.000000 -491.000000 671.000000, -517.000000 -135.000000 -557.000000, -493.000000 -385.000000 -562.000000, 
344.000000 75.000000 -377.000000, -423.000000 -491.000000 671.000000, -517.000000 -136.000000 -558.000000, -493.000000 -385.000000 -562.000000, 
0.000000 0.000000 0.000000, 0.000000 -0.000000 0.000000, -0.000000 0.000000 0.000000, 0.000000 0.000000 0.000011, 
0.000000 0.000003 0.000000, 0.000000 0.000003 0.000000, 0.000000 0.000000 0.000000, 0.000011 0.000168 0.000000, 
0.000000 0.000000 0.000000, 0.000000 0.000043 0.000001, 0.000002 0.000000 0.000175, 0.000011 0.000003 0.000000, 
0.000000 0.000000 0.000003, 0.000000 0.000000 0.000011, 0.000000 0.000003 0.000003, 0.000000 0.000000 0.000000, 
0.000171 0.000011 0.000000, 0.000000 0.000000 0.000000, 0.000001 0.000000 0.000000, 0.000000 0.000000 0.000010, 
0.000038 0.000000 0.000168, 0.000000 0.000001 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000002, 
0.000000 0.000000 0.000000, 0.000000 0.000001 0.000000, 0.000000 0.000000 0.000171, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000011 0.000011 0.000010, 0.000000 0.000000 0.000000, 
0.000042 0.000001 0.000000, 0.000170 0.000003 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000003 0.000000, 
0.000000 0.000000 0.000000, 0.000044 0.000011 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000000, 0.000000 0.000000 0.000043, 0.000000 0.000000 0.000000, 0.000003 0.000001 0.000000, 
0.000000 0.000000 0.000171, 0.000000 0.000000 0.000000, 0.000003 0.000010 0.000000, 0.000003 0.000043 0.000043, 
0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 0.000001 0.000000 0.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000002, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000001, 0.000001 0.000000 0.000000, 
0.000001 0.000000 0.000000, 0.000011 0.000001 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000000, 0.000000 0.000000 0.000011, 0.000165 0.000000 0.000000, 0.000001 0.000000 0.000003, 
0.000000 0.000003 0.000000, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000011, 0.000000 0.000000 0.000000, 
0.000175 0.000000 0.000000, 0.000000 0.000000 0.000001, 0.000000 0.000000 0.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000000, 0.000000 -nan -nan, 0.000000 -nan -nan, -nan -nan -nan, 
0.000000 -nan -nan, 0.000000 -nan -nan, 0.000000 -nan -nan, -nan -nan -nan, 
-nan -nan -nan, -nan -nan -nan, 0.000000 -nan -nan, 0.000000 0.000000 -nan, 
-nan 0.000000 -nan, -nan 0.000000 -nan, -nan -nan -nan, 0.000000 0.000000 -nan, 
-nan -nan -nan, 0.000000 -nan -nan, 0.000000 -nan -nan, -nan 0.000000 0.000000, 
-nan -nan -nan, -nan -nan -nan, -nan -nan -nan, 0.000000 -nan -nan, 
-nan 0.000000 -nan, -nan 0.000000 0.000000, -nan -nan -nan, -nan -nan -nan, 
0.000000 0.000000 -nan, -nan 0.000000 -nan, -nan -nan -nan, 0.000000 0.000000 0.000000, 
-nan -nan -nan, 0.000000 -nan -nan, -nan 0.000000 0.000000, -nan -nan -nan, 
0.000000 -nan -nan, 0.000000 0.000000 -nan, -nan -nan -nan, 0.000000 0.000000 0.000000, 
-nan 0.000000 0.000000, -nan 0.000000 0.000000, -nan 0.000000 0.000000, -nan 0.000000 0.000000, 
-nan -nan -nan, -nan 0.000000 0.000000, -nan -nan -nan, -nan -nan -nan, 
0.000000 -nan -nan, 0.000000 -nan -nan, -nan -nan -nan, 0.000000 -nan -nan, 
0.000000 -nan -nan, 0.000000 -nan -nan, -nan 0.000000 0.000000, -nan -nan -nan, 
0.000000 -nan -nan, -nan -nan -nan, -nan -nan -nan, 0.000000 0.000000 0.000000, 
-nan -nan -nan, -nan -nan -nan, -nan -nan -nan, 0.000000 0.000000 -nan, 
-nan -nan -nan, 0.000000 0.000000 0.000000, -nan 0.000000 0.000000, -nan -nan -nan, 
-nan -nan -nan, -nan -nan -nan, 0.000000 0.000000 -nan, -nan -nan -nan, 
-nan 0.000000 -nan, -nan -nan -nan, -nan -nan -nan, 0.000000 -nan -nan, 
-nan -nan -nan, -nan 0.000000 0.000000, 0.000000 0.000000 0.000000, -nan -nan -nan, 
0.000000 -nan -nan, -nan 0.000000 0.000000, -nan 0.000000 -nan, -nan -nan -nan, 
0.000000 0.000000 0.000000, -nan 0.000000 -nan, -nan 0.000000 -nan, -nan -nan -nan, 
0.000000 -nan -nan, 0.000000 -nan -nan, 0.000000 -nan -nan, -nan 0.000000 -nan, 
-nan -nan -nan, 0.000000 -nan -nan, 0.000000 0.000000 0.000000, -nan 0.000000 -nan, 
